,National Administrator,EU ETS Phase,Free CH allocation to aircraft operators
0,Austria,Phase 3 (2013-2020),84847
1,Austria,Phase 4 (2021-2030),248404
2,Belgium,Phase 3 (2013-2020),8101
3,Belgium,Phase 4 (2021-2030),23245
4,Bulgaria,Phase 3 (2013-2020),1199
5,Bulgaria,Phase 4 (2021-2030),3426
6,Czech Republic,Phase 3 (2013-2020),148
7,Czech Republic,Phase 4 (2021-2030),435
8,Germany,Phase 3 (2013-2020),40058
9,Germany,Phase 4 (2021-2030),114938
10,Denmark,Phase 3 (2013-2020),24
11,Denmark,Phase 4 (2021-2030),84
12,Estonia,Phase 3 (2013-2020),0
13,Estonia,Phase 4 (2021-2030),126
14,Spain,Phase 3 (2013-2020),55644
15,Spain,Phase 4 (2021-2030),225809
16,Finland,Phase 3 (2013-2020),19088
17,Finland,Phase 4 (2021-2030),54744
18,France,Phase 3 (2013-2020),18732
19,France,Phase 4 (2021-2030),53270
20,United Kingdom,Phase 3 (2013-2020),111764
21,Greece,Phase 3 (2013-2020),16138
22,Greece,Phase 4 (2021-2030),46297
23,Croatia,Phase 3 (2013-2020),2955
24,Croatia,Phase 4 (2021-2030),8474
25,Hungary,Phase 3 (2013-2020),4032
26,Hungary,Phase 4 (2021-2030),11562
27,Ireland,Phase 3 (2013-2020),10187
28,Ireland,Phase 4 (2021-2030),28141
29,Iceland,Phase 3 (2013-2020),10664
30,Iceland,Phase 4 (2021-2030),30583
31,Italy,Phase 3 (2013-2020),7250
32,Italy,Phase 4 (2021-2030),41205
33,Luxembourg,Phase 3 (2013-2020),868
34,Luxembourg,Phase 4 (2021-2030),2469
35,Latvia,Phase 3 (2013-2020),6109
36,Latvia,Phase 4 (2021-2030),17519
37,Malta,Phase 3 (2013-2020),4745
38,Malta,Phase 4 (2021-2030),13526
39,Netherlands,Phase 3 (2013-2020),22644
