,National Administrator,Account Type,Account Holder Name,Installation/Aircraft ID,Installation Name/Aircraft Operator Code*,Company Registration No,Permit/Plan ID,Permit/Plan Date,Main Activity Type,Latest Compliance Code
0,Austria,Aircraft Operator Account,Jetalliance Flugbetriebs GmbH,200103,27702,FN 203001g,BMLFUW-UW.1.3.2/0354-V/4/2009,2010-01-01,Aircraft operator activities,C
1,Austria,Aircraft Operator Account,Glock GmbH,200108,194,FN64142b,BMFLUW-UW.1.3.2/0084-V/4/2010,2010-01-01,Aircraft operator activities,A
2,Austria,Aircraft Operator Account,Glock Services GmbH,200109,36057,FN329154a,UW.1.3.2/0085-V/4/2011,2010-01-01,Aircraft operator activities,A
3,Austria,Aircraft Operator Account,Austrian Airlines AG,200146,440,111 000k,BMNT-UW.1.3.2/0189-IV/1/2019,2010-01-01,Aircraft operator activities,A
4,Austria,Aircraft Operator Account,Tupack Verpackungen Gesellschaft m.b.H.,200165,28567,60238 k,BMLFUW-UW.1.3.2/0130-V/4/2010,2010-01-01,Aircraft operator activities,A
5,Austria,Aircraft Operator Account,Air Charter Limited,200180,209,FL-0001.021.205-3,BMFLUW-UW.1.3.2/0372-V/4/2009,2010-01-01,Aircraft operator activities,A
6,Austria,Aircraft Operator Account,International Jet Management GmbH,200265,30323,242653v,BMFLUW-UW.1.3.2/0255-V/4/2010,2009-01-01,Aircraft operator activities,A
7,Austria,Aircraft Operator Account,NIKI Luftfahrt GmbH,200433,29932,FN230533w,BMLFUW-UW.1.3.2/0261-V/4/2013,2010-01-01,Aircraft operator activities,C
8,Austria,Aircraft Operator Account,Ingrid Flick,200442,1178,BMLFUW-UW.1.3.2/0010-V/4/2011,2010-01-01,Aircraft operator activities,A,
9,Austria,Aircraft Operator Account,InterSky Luftfahrt GmbH,201018,28512,FN 215648 f,BMLFUW-UW.1.3.2/0030-V/4/2011,2010-01-01,Aircraft operator activities,C
10,Austria,Operator Holding Account,AGRANA Stärke GmbH,47,AGRANA Gmünd,FN 252477 s,ILE166,2005-01-26,Combustion of fuels,A
11,Austria,Operator Holding Account,AGRANA Stärke GmbH,50,AGRANA Aschach,FN 252477 s,ILE165,2005-10-18,Combustion of fuels,A
12,Austria,Operator Holding Account,AGRANA Zucker GmbH,51,AGRANA Tulln,FN 51929 t,ILE161,2005-07-01,Combustion of fuels,A
13,Austria,Operator Holding Account,AGRANA Zucker GmbH,48,AGRANA Leopoldsdorf,FN 51929 t,ILE163,2005-12-13,Combustion of fuels,A
14,Austria,Operator Holding Account,AGRANA Zucker GmbH,49,AGRANA Hohenau,FN 51929 t,ILE162,2004-01-02,Combustion installations with a rated thermal input exceeding 20 MW,C
15,Austria,Operator Holding Account,Borealis Agrolinz Melamine GmbH,25,Borealis Agrolinz Melamine GmbH,FN 78587 w,ICH114,2005-07-21,Combustion of fuels,A
16,Austria,Operator Holding Account,AMAG Service GmbH,41,AMAG Service Ranshofen,FN 114723 k,IMS193,2005-05-30,Combustion of fuels,A
17,Austria,Operator Holding Account,Calmit GmbH,1,Calmit Bad Ischl,FN 87132 k,IKA119,2005-06-01,"Production of lime, or calcination of dolomite/magnesite",A
18,Austria,Operator Holding Account,Borealis Polyolefine GmbH,118,Borealis Schwechat,FN 125430g,ICH109,2005-01-12,Production of bulk chemicals,A
19,Austria,Operator Holding Account,Breitenfeld Edelstahl AG,2,Breitenfelder Edelstahl Mitterdorf,FN 74471 t,IES069,2005-11-23,Production of pig iron or steel,A
20,Austria,Operator Holding Account,GA Immobilien GmbH,106,Glanzstoff St. Pölten,FN 114787 f,ICH105,2005-01-25,Combustion installations with a rated thermal input exceeding 20 MW,A
21,Austria,Operator Holding Account,Cogeneration-Kraftwerke Management Oberösterreich GmbH,83,CMOÖ GuD Anlage Laakirchen,FN 90934 b,IPA102,2005-04-14,Combustion of fuels,A
22,Austria,Operator Holding Account,Zementwerk Hatschek GmbH,31,Zementwerk Hatschek GmbH,FN 160460 x,IZE077,2004-01-01,Production of cement clinker,A
